C,num_steps,Accuracy,F1_Score,Train_Time_s
100.0,250,0.7692307692307693,0.7567567567567568,0.029832839965820312
400.0,500,0.7692307692307693,0.7567567567567568,0.059833526611328125
500.0,500,0.7692307692307693,0.7567567567567568,0.060106754302978516
100.0,750,0.7692307692307693,0.7567567567567568,0.10112237930297852
100.0,1750,0.7692307692307693,0.7567567567567568,0.2544569969177246
200.0,500,0.7435897435897436,0.7058823529411765,0.06184697151184082
400.0,750,0.7435897435897436,0.7222222222222222,0.09342360496520996
200.0,750,0.7435897435897436,0.7222222222222222,0.09708499908447266
300.0,1000,0.7435897435897436,0.7368421052631579,0.1322486400604248
100.0,1000,0.7435897435897436,0.7222222222222222,0.1355762481689453
100.0,1250,0.7435897435897436,0.7222222222222222,0.17348074913024902
500.0,1500,0.7435897435897436,0.7368421052631579,0.19594526290893555
500.0,1750,0.7435897435897436,0.7368421052631579,0.2310352325439453
400.0,1750,0.7435897435897436,0.7368421052631579,0.23638486862182617
500.0,750,0.717948717948718,0.7027027027027027,0.09291672706604004
300.0,750,0.717948717948718,0.7027027027027027,0.09529614448547363
200.0,1000,0.717948717948718,0.6857142857142857,0.13471555709838867
400.0,1500,0.717948717948718,0.7027027027027027,0.20257329940795898
300.0,1500,0.717948717948718,0.7027027027027027,0.2048778533935547
200.0,1500,0.717948717948718,0.7027027027027027,0.20542263984680176
100.0,1500,0.717948717948718,0.6857142857142857,0.2100687026977539
300.0,1750,0.717948717948718,0.7027027027027027,0.23762965202331543
200.0,1750,0.717948717948718,0.7027027027027027,0.24360108375549316
300.0,500,0.6923076923076923,0.6666666666666666,0.06048083305358887
100.0,500,0.6923076923076923,0.6470588235294118,0.06295585632324219
500.0,1000,0.6923076923076923,0.6666666666666666,0.12760686874389648
400.0,1000,0.6923076923076923,0.6666666666666666,0.1306300163269043
500.0,1250,0.6923076923076923,0.6666666666666666,0.16138720512390137
300.0,1250,0.6923076923076923,0.6666666666666666,0.16574501991271973
400.0,1250,0.6923076923076923,0.6666666666666666,0.16841554641723633
200.0,1250,0.6923076923076923,0.6666666666666666,0.16924333572387695
200.0,250,0.6410256410256411,0.5882352941176471,0.028759479522705078
500.0,250,0.6153846153846154,0.5454545454545454,0.027814388275146484
300.0,250,0.5897435897435898,0.5,0.028207778930664062
400.0,250,0.5641025641025641,0.45161290322580644,0.028031110763549805
